Date,Open,High,Low,Close,Volume,Adj Close
2017-01-30,16.280001,16.370001,16.18,16.23,6451400,16.23
2017-01-27,15.90,16.35,15.85,16.219999,8194600,16.219999
2017-01-26,15.94,16.02,15.84,15.93,5928000,15.93
2017-01-25,15.96,16.129999,15.91,16.10,8314500,16.10
2017-01-24,16.280001,16.389999,16.139999,16.219999,7333900,16.219999
2017-01-23,16.23,16.309999,16.18,16.290001,4190400,16.290001
2017-01-20,16.120001,16.27,16.02,16.190001,8440400,16.190001
2017-01-19,15.95,16.17,15.87,16.120001,7685300,16.120001
2017-01-18,16.280001,16.43,16.15,16.190001,8194200,16.190001
2017-01-17,16.209999,16.32,16.17,16.280001,7876500,16.280001
2017-01-13,15.82,15.95,15.73,15.94,5277900,15.94
2017-01-12,15.98,16.07,15.86,15.91,6084400,15.91
2017-01-11,15.77,16.00,15.67,15.87,7908200,15.87
2017-01-10,15.80,16.030001,15.80,15.91,7860900,15.91
2017-01-09,15.69,15.83,15.65,15.70,7034400,15.70
2017-01-06,15.57,15.70,15.55,15.64,6089700,15.64
2017-01-05,15.73,15.85,15.66,15.76,7770000,15.76
2017-01-04,15.58,15.66,15.49,15.58,6137200,15.58
2017-01-03,15.25,15.64,15.19,15.44,11006000,15.44
2016-12-30,15.37,15.41,15.02,15.11,8528700,15.11
2016-12-29,15.21,15.40,15.17,15.32,8169500,15.32
2016-12-28,15.08,15.22,15.04,15.20,5792800,15.20
2016-12-27,14.99,15.15,14.97,15.13,5525900,15.13
2016-12-23,14.95,14.99,14.88,14.91,7867900,14.91
2016-12-22,15.05,15.20,14.95,14.98,7291700,14.98
2016-12-21,15.26,15.30,15.07,15.12,6025700,15.12
2016-12-20,14.87,15.26,14.85,15.24,10724600,15.24
2016-12-19,15.24,15.26,15.09,15.17,6785000,15.17
2016-12-16,15.22,15.42,15.12,15.27,8450200,15.27
2016-12-15,15.25,15.30,15.06,15.18,21951200,15.18
2016-12-14,16.24,16.33,15.87,15.93,15823100,15.93
2016-12-13,16.18,16.24,15.90,16.040001,8183500,16.040001
2016-12-12,16.24,16.290001,16.16,16.190001,7323200,16.190001
2016-12-09,16.15,16.18,15.92,15.97,7890900,15.97
2016-12-08,16.139999,16.200001,16.08,16.139999,5819000,16.139999
2016-12-07,16.17,16.34,16.16,16.23,10026400,16.23
2016-12-06,15.86,16.01,15.83,15.85,4619800,15.85
2016-12-05,15.75,16.00,15.67,15.88,7154100,15.88
2016-12-02,15.70,15.94,15.68,15.83,8053900,15.83
2016-12-01,15.51,15.82,15.45,15.66,8476400,15.66
2016-11-30,15.78,15.81,15.57,15.66,8659000,15.66
2016-11-29,15.59,15.87,15.58,15.78,4745300,15.78
2016-11-28,15.72,15.84,15.63,15.77,6792200,15.77
2016-11-25,15.70,15.72,15.60,15.63,4894600,15.63
2016-11-23,15.50,15.62,15.34,15.52,12219000,15.52
2016-11-22,15.88,15.90,15.69,15.80,6664300,15.80
2016-11-21,15.76,15.86,15.67,15.72,8384200,15.72
2016-11-18,15.78,15.85,15.60,15.73,9975100,15.73
2016-11-17,16.110001,16.17,15.73,15.84,20942800,15.84
2016-11-16,16.200001,16.209999,16.00,16.09,6940700,16.09
2016-11-15,16.040001,16.26,16.01,16.190001,10295500,16.190001
2016-11-14,16.190001,16.23,15.78,16.00,28727500,16.00
2016-11-11,17.49,17.50,16.309999,16.469999,49939600,16.469999
2016-11-10,17.65,17.799999,17.48,17.559999,17505800,17.559999
2016-11-09,17.860001,17.870001,17.40,17.450001,16723300,17.450001
2016-11-08,17.370001,17.780001,17.34,17.40,11196200,17.40
2016-11-07,17.309999,17.32,17.09,17.290001,7071400,17.290001
2016-11-04,17.469999,17.540001,17.40,17.459999,5656100,17.459999
2016-11-03,17.26,17.50,17.24,17.42,7906500,17.42
2016-11-02,17.620001,17.790001,17.549999,17.559999,10927000,17.559999
2016-11-01,17.370001,17.549999,17.32,17.41,12846100,17.41
2016-10-31,16.940001,17.00,16.870001,16.969999,6046900,16.969999
2016-10-28,16.82,17.01,16.73,16.870001,9764100,16.870001
2016-10-27,16.75,16.77,16.68,16.73,4043300,16.73
2016-10-26,16.809999,16.870001,16.68,16.709999,5770300,16.709999
2016-10-25,16.799999,16.92,16.77,16.860001,6565900,16.860001
2016-10-24,16.959999,16.98,16.639999,16.700001,5788900,16.700001
2016-10-21,16.65,16.66,16.57,16.65,4147700,16.65
2016-10-20,16.799999,16.83,16.559999,16.639999,7031300,16.639999
2016-10-19,16.799999,16.85,16.68,16.790001,8576400,16.790001
2016-10-18,16.690001,16.799999,16.620001,16.719999,7421900,16.719999
2016-10-17,16.540001,16.60,16.50,16.57,3550400,16.57
2016-10-14,16.559999,16.690001,16.48,16.559999,8310100,16.559999
2016-10-13,16.60,16.66,16.540001,16.610001,6253700,16.610001
2016-10-12,16.60,16.709999,16.530001,16.65,6272300,16.65
2016-10-11,16.700001,16.73,16.559999,16.559999,7177100,16.559999
2016-10-10,16.60,16.83,16.60,16.73,8434200,16.73
2016-10-07,16.700001,16.74,16.23,16.60,20194000,16.60
2016-10-06,16.51,16.559999,16.24,16.440001,18447300,16.440001
2016-10-05,17.00,17.01,16.66,16.85,18130900,16.85
2016-10-04,17.58,17.58,16.82,16.940001,27849100,16.940001
2016-10-03,18.10,18.110001,17.76,17.870001,18020700,17.870001
2016-09-30,18.65,18.67,18.129999,18.200001,11567300,18.200001
2016-09-29,18.139999,18.24,18.049999,18.110001,5774800,18.110001
2016-09-28,18.09,18.24,17.959999,18.209999,6960200,18.209999
2016-09-27,18.25,18.299999,18.01,18.17,7750600,18.17
2016-09-26,18.639999,18.67,18.370001,18.41,6671000,18.41
2016-09-23,18.809999,18.85,18.59,18.68,6938200,18.68
2016-09-22,18.98,19.049999,18.85,18.90,9222500,18.90
2016-09-21,18.610001,18.870001,18.540001,18.85,17182300,18.85
2016-09-20,18.15,18.299999,18.110001,18.27,3049900,18.27
2016-09-19,18.27,18.32,18.18,18.200001,5470700,18.200001
2016-09-16,17.77,17.879999,17.74,17.860001,8019300,17.860001
2016-09-15,18.02,18.16,17.870001,18.040001,8193200,18.040001
2016-09-14,18.049999,18.139999,18.00,18.02,4757100,18.02
2016-09-13,18.09,18.110001,17.84,17.93,8800100,17.93
2016-09-12,17.92,18.219999,17.85,18.17,11547700,18.17
2016-09-09,18.49,18.50,18.10,18.110001,12571000,18.110001
2016-09-08,18.780001,18.870001,18.57,18.620001,8347400,18.620001
2016-09-07,18.98,18.99,18.73,18.780001,7396700,18.780001
2016-09-06,18.66,19.120001,18.629999,19.049999,15706900,19.049999
2016-09-02,18.26,18.440001,18.16,18.440001,11996400,18.440001
2016-09-01,17.74,17.99,17.690001,17.940001,11181400,17.940001
2016-08-31,17.700001,17.799999,17.690001,17.719999,4322500,17.719999
2016-08-30,17.799999,17.860001,17.639999,17.67,10110600,17.67
2016-08-29,17.68,17.93,17.66,17.90,6128900,17.90
2016-08-26,17.790001,18.120001,17.620001,17.719999,16051400,17.719999
2016-08-25,17.610001,17.700001,17.60,17.629999,6652300,17.629999
2016-08-24,17.77,17.780001,17.60,17.620001,11798000,17.620001
2016-08-23,18.049999,18.10,17.91,17.93,6913400,17.93
2016-08-22,18.01,18.030001,17.90,17.969999,12204900,17.969999
2016-08-19,18.40,18.48,18.33,18.35,11304400,18.35
2016-08-18,18.790001,18.85,18.700001,18.77,6250700,18.77
2016-08-17,18.719999,18.82,18.41,18.68,14607900,18.68
2016-08-16,18.77,18.950001,18.73,18.82,9657300,18.82
2016-08-15,18.77,18.889999,18.76,18.83,4446700,18.83
2016-08-12,19.15,19.190001,18.68,18.719999,9826100,18.719999
2016-08-11,19.16,19.26,18.950001,18.959999,8079600,18.959999
2016-08-10,19.290001,19.32,19.129999,19.16,8635800,19.16
2016-08-09,18.85,18.889999,18.780001,18.870001,4722200,18.870001
2016-08-08,18.76,18.879999,18.73,18.74,6084200,18.74
2016-08-05,18.93,18.93,18.709999,18.709999,15087800,18.709999
2016-08-04,19.280001,19.450001,19.27,19.35,5468600,19.35
2016-08-03,19.52,19.52,19.35,19.379999,7129100,19.379999
2016-08-02,19.65,19.709999,19.559999,19.60,9389300,19.60
2016-08-01,19.450001,19.549999,19.35,19.43,11590000,19.43
2016-07-29,19.26,19.40,19.09,19.35,14664700,19.35
2016-07-28,19.299999,19.34,19.10,19.209999,9657900,19.209999
2016-07-27,19.02,19.40,18.799999,19.370001,20054800,19.370001
2016-07-26,18.67,18.709999,18.629999,18.66,4110600,18.66
2016-07-25,18.49,18.73,18.34,18.540001,8644600,18.540001
2016-07-22,18.67,18.74,18.59,18.67,6826000,18.67
2016-07-21,18.370001,18.90,18.360001,18.879999,12846100,18.879999
2016-07-20,18.49,18.620001,18.389999,18.42,13492700,18.42
2016-07-19,18.91,19.02,18.889999,18.92,5248600,18.92
2016-07-18,18.93,19.120001,18.92,19.10,8619000,19.10
2016-07-15,19.10,19.18,19.01,19.08,11279600,19.08
2016-07-14,19.110001,19.299999,19.10,19.25,10881400,19.25
2016-07-13,19.32,19.40,19.16,19.389999,9452400,19.389999
2016-07-12,19.35,19.43,18.969999,19.09,21190500,19.09
2016-07-11,19.25,19.450001,19.219999,19.299999,20224200,19.299999
2016-07-08,18.879999,19.219999,18.700001,19.219999,20102900,19.219999
2016-07-07,18.889999,18.90,18.50,18.709999,19039200,18.709999
2016-07-06,18.99,19.24,18.879999,19.10,23766600,19.10
2016-07-05,18.870001,19.08,18.67,18.98,28689100,18.98
2016-07-01,18.280001,18.92,18.280001,18.74,29989500,18.74
2016-06-30,17.530001,17.90,17.459999,17.860001,18416300,17.860001
2016-06-29,17.34,17.52,17.290001,17.370001,13965000,17.370001
2016-06-28,16.90,16.969999,16.85,16.91,6759600,16.91
2016-06-27,16.91,16.93,16.780001,16.870001,8978600,16.870001
2016-06-24,17.049999,17.07,16.799999,16.889999,16614200,16.889999
2016-06-23,16.450001,16.52,16.43,16.49,7472400,16.49
2016-06-22,16.41,16.48,16.389999,16.42,4521800,16.42
2016-06-21,16.469999,16.50,16.32,16.379999,6642800,16.379999
2016-06-20,16.51,16.690001,16.49,16.65,7317200,16.65
2016-06-17,16.60,16.620001,16.389999,16.60,14781400,16.60
2016-06-16,16.889999,16.92,16.299999,16.309999,36351500,16.309999
2016-06-15,16.610001,16.75,16.57,16.690001,11249000,16.690001
2016-06-14,16.60,16.60,16.450001,16.540001,7612100,16.540001
2016-06-13,16.530001,16.60,16.459999,16.58,7799500,16.58
2016-06-10,16.469999,16.530001,16.360001,16.49,11215100,16.49
2016-06-09,16.24,16.48,16.219999,16.469999,12579800,16.469999
2016-06-08,16.16,16.26,16.10,16.209999,14512900,16.209999
2016-06-07,15.57,15.66,15.54,15.60,4896900,15.60
2016-06-06,15.63,15.68,15.57,15.68,5736300,15.68
2016-06-03,15.59,15.64,15.51,15.61,9059300,15.61
2016-06-02,15.21,15.25,15.17,15.22,4223600,15.22
2016-06-01,15.19,15.25,15.04,15.17,7146500,15.17
2016-05-31,15.26,15.31,15.17,15.19,7432200,15.19
2016-05-27,15.50,15.51,15.34,15.39,5918000,15.39
2016-05-26,15.71,15.73,15.49,15.53,5485700,15.53
2016-05-25,15.48,15.56,15.44,15.50,7969100,15.50
2016-05-24,15.51,15.64,15.40,15.42,7939500,15.42
2016-05-23,15.52,15.65,15.51,15.59,6041500,15.59
2016-05-20,15.82,15.82,15.61,15.69,5965800,15.69
2016-05-19,15.57,15.72,15.53,15.67,17547100,15.67
2016-05-18,16.16,16.32,15.90,16.00,13533300,16.00
2016-05-17,16.309999,16.50,16.290001,16.41,5992300,16.41
2016-05-16,16.48,16.549999,16.27,16.32,6588700,16.32
2016-05-13,16.16,16.290001,16.08,16.280001,6156500,16.280001
2016-05-12,16.540001,16.57,16.17,16.219999,9826700,16.219999
2016-05-11,16.59,16.66,16.43,16.559999,9226300,16.559999
2016-05-10,16.25,16.32,16.17,16.280001,6278300,16.280001
2016-05-09,16.25,16.280001,16.10,16.120001,10563400,16.120001
2016-05-06,16.530001,16.74,16.49,16.629999,9188200,16.629999
2016-05-05,16.73,16.75,16.40,16.51,7639700,16.51
2016-05-04,16.530001,16.610001,16.389999,16.49,8278600,16.49
2016-05-03,16.75,16.75,16.48,16.57,9740600,16.57
2016-05-02,16.940001,16.950001,16.629999,16.639999,12874000,16.639999
2016-04-29,16.959999,17.09,16.870001,16.98,15182000,16.98
2016-04-28,16.51,16.799999,16.459999,16.77,13007900,16.77
2016-04-27,16.370001,16.48,16.219999,16.379999,17178800,16.379999
2016-04-26,16.23,16.32,16.16,16.290001,7745900,16.290001
2016-04-25,16.200001,16.290001,16.10,16.17,9324800,16.17
2016-04-22,16.360001,16.51,16.02,16.139999,14527800,16.139999
2016-04-21,16.43,16.440001,15.92,16.209999,18781300,16.209999
2016-04-20,16.24,16.360001,16.129999,16.139999,16221600,16.139999
2016-04-19,16.16,16.200001,16.040001,16.120001,18838300,16.120001
2016-04-18,15.47,15.53,15.41,15.42,5351100,15.42
2016-04-15,15.40,15.58,15.32,15.46,9692000,15.46
2016-04-14,15.40,15.46,15.30,15.34,7392500,15.34
2016-04-13,15.48,15.53,15.29,15.44,10558000,15.44
2016-04-12,15.28,15.43,15.20,15.41,11986500,15.41
2016-04-11,14.93,15.20,14.93,15.14,13189400,15.14
2016-04-08,14.51,14.65,14.49,14.62,7946400,14.62
2016-04-07,14.56,14.62,14.42,14.48,8633900,14.48
2016-04-06,14.31,14.46,14.27,14.34,4688200,14.34
2016-04-05,14.41,14.44,14.35,14.42,7597200,14.42
2016-04-04,14.33,14.36,14.20,14.20,5481000,14.20
2016-04-01,14.24,14.38,14.09,14.34,13947100,14.34
2016-03-31,14.70,14.74,14.61,14.68,5868200,14.68
2016-03-30,14.60,14.69,14.45,14.49,7875000,14.49
2016-03-29,14.53,14.62,14.38,14.60,7704200,14.60
2016-03-28,14.58,14.63,14.43,14.46,3438300,14.46
2016-03-24,14.57,14.60,14.43,14.43,5424900,14.43
2016-03-23,14.65,14.66,14.50,14.51,14398800,14.51
2016-03-22,15.08,15.20,15.01,15.12,5024200,15.12
2016-03-21,15.05,15.12,14.99,15.06,5287800,15.06
2016-03-18,15.09,15.15,14.98,15.03,8934300,15.03
2016-03-17,15.11,15.28,15.00,15.16,20688300,15.16
2016-03-16,14.51,14.91,14.47,14.87,10300400,14.87
2016-03-15,14.52,14.58,14.46,14.54,4692500,14.54
2016-03-14,15.03,15.04,14.54,14.58,11305100,14.58
2016-03-11,14.87,14.92,14.72,14.72,7177400,14.72
2016-03-10,14.72,14.90,14.70,14.82,11744600,14.82
2016-03-09,14.50,14.70,14.47,14.53,5620700,14.53
2016-03-08,14.84,14.86,14.60,14.62,8149000,14.62
2016-03-07,14.86,14.97,14.78,14.90,8332500,14.90
2016-03-04,14.67,15.04,14.65,14.76,18755100,14.76
2016-03-03,14.26,14.59,14.26,14.50,10448100,14.50
2016-03-02,14.17,14.31,14.15,14.25,9133800,14.25
2016-03-01,14.21,14.22,14.01,14.17,20681200,14.17
2016-02-29,14.04,14.21,14.03,14.20,4938600,14.20
2016-02-26,14.31,14.33,13.97,14.02,10291000,14.02
2016-02-25,14.38,14.48,14.32,14.41,5180700,14.41
2016-02-24,14.72,14.84,14.45,14.52,8958200,14.52
2016-02-23,14.51,14.58,14.49,14.54,4406100,14.54
2016-02-22,14.34,14.52,14.34,14.43,5417600,14.43
2016-02-19,14.62,14.70,14.60,14.64,5343100,14.64
2016-02-18,14.53,14.82,14.51,14.76,7516900,14.76
2016-02-17,14.55,14.65,14.52,14.54,4999900,14.54
2016-02-16,14.68,14.68,14.50,14.51,8638300,14.51
2016-02-12,14.95,15.06,14.89,14.99,7130900,14.99
2016-02-11,14.95,15.20,14.79,14.95,21500000,14.95
2016-02-10,14.51,14.58,14.37,14.55,5097000,14.55
2016-02-09,14.64,14.71,14.46,14.51,6803800,14.51
